model_key,seed,represented_base,represented_sft,represented_delta,transfer_base,transfer_sft,transfer_delta
qwen25_15b,42,0.6221099852129529,0.9878290326284124,0.36571904741545946,0.8215282937157284,0.7425724281557518,-0.07895586555997669
qwen25_15b,43,0.6221099852129529,0.989971172119032,0.36786118690607905,0.8215282937157284,0.8583403631930908,0.036812069477362375
qwen25_15b,44,0.6221099852129529,0.9873501742366225,0.3652401890236696,0.8215282937157284,0.7757942800154403,-0.04573401370028818
qwen25_15b,45,0.6221099852129529,0.984336889707771,0.3622269044948181,0.8215282937157284,0.7848832303497028,-0.03664506336602569
qwen25_15b,46,0.6221099852129529,0.9889026002157019,0.36679261500274896,0.8215282937157284,0.7954039612743948,-0.02612433244133361
smollm2_17b,42,0.4467323066979661,0.9829947995298959,0.5362624928319297,0.7870267684563641,0.8603714482330456,0.07334467977668147
smollm2_17b,43,0.4467323066979661,0.9798545624926751,0.5331222557947091,0.7870267684563641,0.8616406810468976,0.07461391259053352
smollm2_17b,44,0.4467323066979661,0.976801650391485,0.5300693436935189,0.7870267684563641,0.8211380302912271,0.034111261834863016
smollm2_17b,45,0.4467323066979661,0.9800791814887813,0.5333468747908152,0.7870267684563641,0.824720003464404,0.037693235008039894
smollm2_17b,46,0.4467323066979661,0.9832889985799476,0.5365566918819815,0.7870267684563641,0.8233059786024124,0.03627921014604829
smollm3_3b,42,0.6551594635825304,0.9834178542030981,0.3282583906205677,0.9141454151530684,0.7736370247488524,-0.14050839040421592
smollm3_3b,43,0.6551594635825304,0.9829158313440445,0.32775636776151407,0.9141454151530684,0.8393462285109918,-0.07479918664207652
smollm3_3b,44,0.6551594635825304,0.9818027853316739,0.32664332174914346,0.9141454151530684,0.781158217584027,-0.13298719756904132
smollm3_3b,45,0.6551594635825304,0.9820569381228421,0.3268974745403117,0.9141454151530684,0.7681230254264144,-0.14602238972665393
smollm3_3b,46,0.6551594635825304,0.980130736984969,0.3249712734024386,0.9141454151530684,0.8077832931682277,-0.10636212198484063
qwen3_4b,42,0.8783098549070845,0.982000114157187,0.10369025925010256,0.9448295980718318,0.8309307880592322,-0.1138988100125996
qwen3_4b,43,0.8783098549070845,0.9868058946742005,0.10849603976711608,0.9448295980718318,0.8592197041159679,-0.08560989395586382
qwen3_4b,44,0.8783098549070845,0.9835958494008762,0.10528599449379172,0.9448295980718318,0.819923860791263,-0.12490573728056875
qwen3_4b,45,0.8783098549070845,0.9803685031112401,0.10205864820415567,0.9448295980718318,0.8580849619723412,-0.08674463609949057
qwen3_4b,46,0.8783098549070845,0.9805189572683105,0.10220910236122605,0.9448295980718318,0.8445839522879911,-0.10024564578384065
